Date,Close,High,Low,Open,Volume
2016-06-08,1766400000.0,1785600000.0,1696000000.0,1753600000.0,0
2016-06-09,1638400000.0,1804800000.0,1561600000.0,1760000000.0,0
2016-06-10,1536000000.0,1632000000.0,1510400000.0,1619200000.0,0
2016-06-13,1593600000.0,1657600000.0,1536000000.0,1555200000.0,0
2016-06-14,1619200000.0,1657600000.0,1523200000.0,1593600000.0,0
2016-06-15,1574400000.0,1696000000.0,1548800000.0,1632000000.0,0
2016-06-16,1260800000.0,1318400000.0,1241600000.0,1280000000.0,0
2016-06-17,1260800000.0,1280000000.0,1235200000.0,1280000000.0,0
2016-06-20,1241600000.0,1299200000.0,1177600000.0,1260800000.0,0
2016-06-21,1312000000.0,1395200000.0,1196800000.0,1254400000.0,0
2016-06-22,1324800000.0,1376000000.0,1254400000.0,1318400000.0,0
2016-06-23,1376000000.0,1433600000.0,1292800000.0,1356800000.0,0
2016-06-24,1312000000.0,1382400000.0,1260800000.0,1331200000.0,0
2016-06-27,1254400000.0,1318400000.0,1216000000.0,1318400000.0,0
2016-06-28,1337600000.0,1363200000.0,1273600000.0,1273600000.0,0
2016-06-29,1350400000.0,1388800000.0,1292800000.0,1356800000.0,0
2016-06-30,1273600000.0,1369600000.0,1254400000.0,1363200000.0,0
2016-07-01,1292800000.0,1331200000.0,1273600000.0,1286400000.0,0
2016-07-05,1305600000.0,1376000000.0,1299200000.0,1324800000.0,0
2016-07-06,1318400000.0,1344000000.0,1305600000.0,1312000000.0,0
2016-07-07,1363200000.0,1369600000.0,1324800000.0,1324800000.0,0
2016-07-08,1382400000.0,1408000000.0,1356800000.0,1376000000.0,0
2016-07-11,1356800000.0,1401600000.0,1356800000.0,1401600000.0,0
2016-07-12,1356800000.0,1388800000.0,1248000000.0,1369600000.0,0
2016-07-13,1305600000.0,1376000000.0,1280000000.0,1356800000.0,0
2016-07-14,1286400000.0,1337600000.0,1280000000.0,1312000000.0,0
2016-07-15,1305600000.0,1344000000.0,1267200000.0,1292800000.0,0
2016-07-18,1331200000.0,1344000000.0,1286400000.0,1312000000.0,0
2016-07-19,1267200000.0,1344000000.0,1254400000.0,1337600000.0,0
2016-07-20,1286400000.0,1331200000.0,1254400000.0,1280000000.0,0
2016-07-21,1254400000.0,1324800000.0,1254400000.0,1299200000.0,0
2016-07-22,1280000000.0,1286400000.0,1228800000.0,1254400000.0,0
2016-07-25,1248000000.0,1292800000.0,1228800000.0,1260800000.0,0
2016-07-26,1248000000.0,1286400000.0,1228800000.0,1280000000.0,0
2016-07-27,1318400000.0,1344000000.0,1260800000.0,1267200000.0,0
2016-07-28,1305600000.0,1344000000.0,1292800000.0,1312000000.0,0
2016-07-29,1324800000.0,1337600000.0,1280000000.0,1292800000.0,0
2016-08-01,1312000000.0,1344000000.0,1292800000.0,1344000000.0,0
2016-08-02,1299200000.0,1331200000.0,1248000000.0,1324800000.0,0
2016-08-03,1324800000.0,1363200000.0,1273600000.0,1292800000.0,0
2016-08-04,1299200000.0,1344000000.0,1267200000.0,1344000000.0,0
2016-08-05,1324800000.0,1337600000.0,1286400000.0,1292800000.0,0
2016-08-08,1459200000.0,1472000000.0,1331200000.0,1344000000.0,0
2016-08-09,1452800000.0,1465600000.0,1388800000.0,1433600000.0,0
2016-08-10,1446400000.0,1472000000.0,1395200000.0,1452800000.0,0
2016-08-11,1440000000.0,1446400000.0,1388800000.0,1440000000.0,0
2016-08-12,1638400000.0,1651200000.0,1408000000.0,1427200000.0,0
2016-08-15,1600000000.0,1760000000.0,1542400000.0,1696000000.0,0
2016-08-16,1606400000.0,1625600000.0,1542400000.0,1612800000.0,0
2016-08-17,1644800000.0,1651200000.0,1574400000.0,1606400000.0,0
2016-08-18,1600000000.0,1689600000.0,1555200000.0,1657600000.0,0
2016-08-19,1580800000.0,1600000000.0,1568000000.0,1574400000.0,0
2016-08-22,1740800000.0,1760000000.0,1561600000.0,1593600000.0,0
2016-08-23,1721600000.0,1792000000.0,1683200000.0,1734400000.0,0
2016-08-24,1606400000.0,1760000000.0,1568000000.0,1753600000.0,0
2016-08-25,1568000000.0,1664000000.0,1504000000.0,1606400000.0,0
2016-08-26,1561600000.0,1606400000.0,1504000000.0,1568000000.0,0
2016-08-29,1593600000.0,1760000000.0,1568000000.0,1760000000.0,0
2016-08-30,1580800000.0,1638400000.0,1523200000.0,1606400000.0,0
2016-08-31,1459200000.0,1587200000.0,1427200000.0,1568000000.0,0
2016-09-01,1510400000.0,1593600000.0,1440000000.0,1472000000.0,0
2016-09-02,1395200000.0,1523200000.0,1318400000.0,1523200000.0,0
2016-09-06,588800000.0,691200000.0,576000000.0,652800000.0,0
2016-09-07,556800000.0,614400000.0,544000000.0,601600000.0,0
2016-09-08,505600000.0,563200000.0,505600000.0,556800000.0,0
2016-09-09,499200000.0,524800000.0,486400000.0,524800000.0,0
2016-09-12,499200000.0,505600000.0,480000000.0,505600000.0,0
2016-09-13,492800000.0,550400000.0,480000000.0,512000000.0,0
2016-09-14,505600000.0,518400000.0,486400000.0,512000000.0,0
2016-09-15,480000000.0,518400000.0,480000000.0,518400000.0,0
2016-09-16,473600000.0,492800000.0,467200000.0,480000000.0,0
2016-09-19,454400000.0,480000000.0,448000000.0,480000000.0,0
2016-09-20,448000000.0,473600000.0,441600000.0,467200000.0,0
2016-09-21,460800000.0,467200000.0,454400000.0,454400000.0,0
2016-09-22,454400000.0,473600000.0,441600000.0,467200000.0,0
2016-09-23,448000000.0,460800000.0,448000000.0,454400000.0,0
2016-09-26,448000000.0,460800000.0,441600000.0,448000000.0,0
2016-09-27,448000000.0,460800000.0,441600000.0,454400000.0,0
2016-09-28,448000000.0,460800000.0,441600000.0,448000000.0,0
2016-09-29,448000000.0,454400000.0,448000000.0,448000000.0,0
2016-09-30,448000000.0,454400000.0,448000000.0,448000000.0,0
2016-10-03,448000000.0,454400000.0,441600000.0,448000000.0,0
2016-10-04,492800000.0,544000000.0,448000000.0,448000000.0,0
2016-10-05,480000000.0,492800000.0,454400000.0,486400000.0,0
2016-10-06,441600000.0,480000000.0,441600000.0,480000000.0,0
2016-10-07,422400000.0,448000000.0,416000000.0,441600000.0,0
2016-10-10,396800000.0,422400000.0,384000000.0,416000000.0,0
2016-10-11,409600000.0,416000000.0,384000000.0,390400000.0,0
2016-10-12,403200000.0,416000000.0,396800000.0,409600000.0,0
2016-10-13,409600000.0,441600000.0,390400000.0,390400000.0,0
2016-10-14,416000000.0,422400000.0,396800000.0,416000000.0,0
2016-10-17,403200000.0,416000000.0,390400000.0,416000000.0,0
2016-10-18,409600000.0,422400000.0,390400000.0,390400000.0,0
2016-10-19,409600000.0,422400000.0,409600000.0,409600000.0,0
2016-10-20,441600000.0,454400000.0,409600000.0,409600000.0,0
2016-10-21,428800000.0,448000000.0,409600000.0,448000000.0,0
2016-10-24,416000000.0,441600000.0,416000000.0,416000000.0,0
2016-10-25,396800000.0,435200000.0,396800000.0,435200000.0,0
2016-10-26,294400000.0,332800000.0,294400000.0,320000000.0,0
2016-10-27,288000000.0,313600000.0,288000000.0,294400000.0,0
2016-10-28,288000000.0,300800000.0,268800000.0,300800000.0,0
2016-10-31,288000000.0,294400000.0,275200000.0,288000000.0,0
2016-11-01,275200000.0,288000000.0,275200000.0,281600000.0,0
2016-11-02,275200000.0,281600000.0,256000000.0,275200000.0,0
2016-11-03,275200000.0,288000000.0,256000000.0,281600000.0,0
2016-11-04,281600000.0,320000000.0,268800000.0,268800000.0,0
2016-11-07,288000000.0,300800000.0,281600000.0,281600000.0,0
2016-11-08,281600000.0,313600000.0,275200000.0,288000000.0,0
2016-11-09,281600000.0,288000000.0,262400000.0,275200000.0,0
2016-11-10,294400000.0,294400000.0,281600000.0,294400000.0,0
2016-11-11,281600000.0,307200000.0,281600000.0,300800000.0,0
2016-11-14,281600000.0,300800000.0,275200000.0,275200000.0,0
2016-11-15,268800000.0,288000000.0,262400000.0,281600000.0,0
2016-11-16,268800000.0,275200000.0,256000000.0,268800000.0,0
2016-11-17,262400000.0,275200000.0,262400000.0,268800000.0,0
2016-11-18,268800000.0,281600000.0,262400000.0,262400000.0,0
2016-11-21,256000000.0,281600000.0,256000000.0,268800000.0,0
2016-11-22,243200000.0,268800000.0,236800000.0,262400000.0,0
2016-11-23,243200000.0,268800000.0,236800000.0,262400000.0,0
2016-11-25,256000000.0,262400000.0,243200000.0,256000000.0,0
2016-11-28,275200000.0,275200000.0,224000000.0,256000000.0,0
2016-11-29,256000000.0,307200000.0,236800000.0,281600000.0,0
2016-11-30,243200000.0,256000000.0,243200000.0,249600000.0,0
